CYP2D6 Diplotype	Gaedigk Activity Score (formula)	Coded Genotype/Phenotype Summary	EHR Priority Result Notation
*10/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*11	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*12	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*13	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*14A	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*15	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*18	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*19	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*20	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*21	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*31	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*36	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*36xN	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*38	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*40	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*42	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*44	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*47	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*10x2/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*14B	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*17	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*11/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*14B	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*17	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*12/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*14B	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*17	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*13/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*14B	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*17	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14A/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*15	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*18	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*19	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*20	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*21	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*31	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*36	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*36xN	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*38	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*40	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*42	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*44	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*47	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*14B/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*17	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*15/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*18	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*19	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*20	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*21	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*31	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*36	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*36xN	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*38	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*40	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*42	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*44	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*47	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*17/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*18/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*19/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*20/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*29	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*21/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*31	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*36	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*36xN	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*38	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*40	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*42	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*44	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*47	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*29/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*31/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*36xN/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*38/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*41	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*40/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*42	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*44	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*47	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*41/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*42/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*44/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*49	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*50	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*47/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*49/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*51	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*68	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*69	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*92	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*96	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*99	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*100	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*50/*101	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*51/*54	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*51/*55	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*51/*59	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*51/*72	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*51/*84	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*54/*56	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*54/*57	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*54/*60	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
*54/*62	0.5	CYP2D6 Intermediate Metabolizer 	Abnormal/Priority/High Risk
